zip,Y,X,STATE_ZIP,REGION_ZIP,
1951,42.79799,-70.838249,MA,Northeast,
1952,42.849603,-70.862141,MA,Northeast,
1960,42.533241,-70.972639,MA,Northeast,
1961,42.534558,-70.968238,MA,Northeast,
1965,42.561561,-70.833711,MA,Northeast,
1966,42.658742,-70.618711,MA,Northeast,
1969,42.721075,-70.898492,MA,Northeast,
1970,42.518116,-70.904469,MA,Northeast,
1971,42.527567,-70.868387,MA,Northeast,
1982,42.619543,-70.86166,MA,Northeast,
1983,42.640415,-70.947058,MA,Northeast,
1984,42.603665,-70.888664,MA,Northeast,
1985,42.790919,-70.975482,MA,Northeast,
2018,42.175682,-70.886913,MA,Northeast,
2019,42.068354,-71.476042,MA,Northeast,
2020,42.08398,-70.649731,MA,Northeast,
2021,42.164447,-71.131647,MA,Northeast,
2025,42.237751,-70.809991,MA,Northeast,
2026,42.244649,-71.16764,MA,Northeast,
2027,42.246639,-71.179916,MA,Northeast,
2030,42.234095,-71.28611,MA,Northeast,
2031,42.013234,-71.184314,MA,Northeast,
2032,42.154795,-71.216436,MA,Northeast,
2035,42.062193,-71.243476,MA,Northeast,
2038,42.093298,-71.404394,MA,Northeast,
2040,42.179589,-70.749679,MA,Northeast,
2041,42.071576,-70.65438,MA,Northeast,
2043,42.227974,-70.89115,MA,Northeast,
2044,42.242484,-70.892883,MA,Northeast,
2045,42.230785,-70.839051,MA,Northeast,
2047,42.13786,-70.693847,MA,Northeast,
2048,42.023917,-71.218787,MA,Northeast,
2050,42.126517,-70.73631,MA,Northeast,
2051,42.145186,-70.72388,MA,Northeast,
2052,42.177982,-71.305897,MA,Northeast,
2053,42.145235,-71.407864,MA,Northeast,
2054,42.167699,-71.360144,MA,Northeast,
2055,42.238834,-70.761576,MA,Northeast,
2056,42.118496,-71.328676,MA,Northeast,
2059,42.142821,-70.772118,MA,Northeast,
2060,42.186869,-71.204063,MA,Northeast,
2061,42.156831,-70.821267,MA,Northeast,
2062,42.185459,-71.202181,MA,Northeast,
2065,42.075863,-70.669561,MA,Northeast,
2066,42.199513,-70.746169,MA,Northeast,
2067,42.111505,-71.179831,MA,Northeast,
2070,42.034805,-71.386,MA,Northeast,
2071,42.104986,-71.270463,MA,Northeast,
2072,42.124896,-71.109196,MA,Northeast,
2081,42.142932,-71.25713,MA,Northeast,
2090,42.216043,-71.204408,MA,Northeast,
2093,42.057241,-71.344361,MA,Northeast,
2101,42.371091,-71.02533,MA,Northeast,
2102,42.362536,-71.047703,MA,Northeast,
2103,42.363928,-71.048695,MA,Northeast,
2104,42.361259,-71.050255,MA,Northeast,
2105,42.36488,-71.052127,MA,Northeast,
2106,42.357299,-71.057312,MA,Northeast,
2107,42.357854,-71.058943,MA,Northeast,
2108,42.358664,-71.071293,MA,Northeast,
2109,42.361951,-71.06368,MA,Northeast,
2110,42.35819,-71.050678,MA,Northeast,
2111,42.351267,-71.064699,MA,Northeast,
2112,42.334565,-71.016681,MA,Northeast,
2113,42.365976,-71.05308,MA,Northeast,
